Sex,Age,Estimate,IFR,Source,Age_int
f,25,Upper,1.0999999999999999e-4,ODriscol et al.,5
f,30,Upper,1.7999999999999998e-4,ODriscol et al.,5
f,35,Upper,2.9e-4,ODriscol et al.,5
f,40,Upper,5.099999999999999e-4,ODriscol et al.,5
f,45,Upper,8.500000000000001e-4,ODriscol et al.,5
f,50,Upper,0.0014199999999999998,ODriscol et al.,5
f,55,Upper,0.00228,ODriscol et al.,5
f,60,Upper,0.00367,ODriscol et al.,5
f,65,Upper,0.00807,ODriscol et al.,5
f,70,Upper,0.01206,ODriscol et al.,5
f,75,Upper,0.024820000000000002,ODriscol et al.,5
f,80,Upper,0.06662,ODriscol et al.,5
t,0,Central,3e-5,ODriscol et al.,5
t,5,Central,1e-5,ODriscol et al.,5
t,10,Central,1e-5,ODriscol et al.,5
t,15,Central,3e-5,ODriscol et al.,5
t,20,Central,6e-5,ODriscol et al.,5
t,25,Central,1.3e-4,ODriscol et al.,5
t,30,Central,2.4e-4,ODriscol et al.,5
t,35,Central,4e-4,ODriscol et al.,5
t,40,Central,7.5e-4,ODriscol et al.,5
t,45,Central,0.00121,ODriscol et al.,5
t,50,Central,0.00207,ODriscol et al.,5
t,55,Central,0.0032300000000000002,ODriscol et al.,5
t,60,Central,0.00456,ODriscol et al.,5
t,65,Central,0.01075,ODriscol et al.,5
t,70,Central,0.016739999999999998,ODriscol et al.,5
t,75,Central,0.032029999999999996,ODriscol et al.,5
t,80,Central,0.08292,ODriscol et al.,5
t,0,Lower,2e-5,ODriscol et al.,5
t,5,Lower,0,ODriscol et al.,5
t,10,Lower,1e-5,ODriscol et al.,5
t,15,Lower,2e-5,ODriscol et al.,5
t,20,Lower,5e-5,ODriscol et al.,5
t,25,Lower,1.0999999999999999e-4,ODriscol et al.,5
t,30,Lower,2.1e-4,ODriscol et al.,5
t,35,Lower,3.4e-4,ODriscol et al.,5
t,40,Lower,6.4e-4,ODriscol et al.,5
t,45,Lower,0.00104,ODriscol et al.,5
t,50,Lower,0.0017699999999999999,ODriscol et al.,5
t,55,Lower,0.0027700000000000003,ODriscol et al.,5
t,60,Lower,0.00392,ODriscol et al.,5
t,65,Lower,0.009210000000000001,ODriscol et al.,5
t,70,Lower,0.01435,ODriscol et al.,5
t,75,Lower,0.027440000000000003,ODriscol et al.,5
t,80,Lower,0.07105,ODriscol et al.,5
t,0,Upper,3e-5,ODriscol et al.,5
t,5,Upper,1e-5,ODriscol et al.,5
t,10,Upper,1e-5,ODriscol et al.,5
t,15,Upper,3e-5,ODriscol et al.,5
t,20,Upper,8e-5,ODriscol et al.,5
t,25,Upper,1.5e-4,ODriscol et al.,5
t,30,Upper,2.8000000000000003e-4,ODriscol et al.,5
t,35,Upper,4.7e-4,ODriscol et al.,5
t,40,Upper,8.699999999999999e-4,ODriscol et al.,5
t,45,Upper,0.0014000000000000002,ODriscol et al.,5
t,50,Upper,0.0023899999999999998,ODriscol et al.,5
t,55,Upper,0.00373,ODriscol et al.,5
t,60,Upper,0.00527,ODriscol et al.,5
t,65,Upper,0.01244,ODriscol et al.,5
t,70,Upper,0.019370000000000002,ODriscol et al.,5
t,75,Upper,0.03705,ODriscol et al.,5
t,80,Upper,0.09593,ODriscol et al.,5
t,0,Central,0,Imperial College,5
t,5,Central,1e-4,Imperial College,5
t,10,Central,1e-4,Imperial College,5
t,15,Central,2e-4,Imperial College,5
t,20,Central,2e-4,Imperial College,5
t,25,Central,4e-4,Imperial College,5
t,30,Central,6e-4,Imperial College,5
t,35,Central,9e-4,Imperial College,5
t,40,Central,0.0015,Imperial College,5
t,45,Central,0.0023,Imperial College,5
t,50,Central,0.0036,Imperial College,5
t,55,Central,0.005699999999999999,Imperial College,5
t,60,Central,0.0089,Imperial College,5
t,65,Central,0.0139,Imperial College,5
t,70,Central,0.0217,Imperial College,5
t,75,Central,0.0339,Imperial College,5
t,80,Central,0.053,Imperial College,5
t,85,Central,0.0828,Imperial College,5
t,90,Central,0.16190000000000002,Imperial College,5
t,0,Lower,0,Imperial College,5
t,5,Lower,0,Imperial College,5
t,10,Lower,0,Imperial College,5
t,15,Lower,0,Imperial College,5
t,20,Lower,0,Imperial College,5
t,25,Lower,0,Imperial College,5
t,30,Lower,1e-4,Imperial College,5
t,35,Lower,1e-4,Imperial College,5
t,40,Lower,2e-4,Imperial College,5
t,45,Lower,3e-4,Imperial College,5
t,50,Lower,5e-4,Imperial College,5
t,55,Lower,0.001,Imperial College,5
t,60,Lower,0.0018,Imperial College,5
t,65,Lower,0.0034000000000000002,Imperial College,5
t,70,Lower,0.0064,Imperial College,5
t,75,Lower,0.011899999999999999,Imperial College,5
t,80,Lower,0.0219,Imperial College,5
t,85,Lower,0.0398,Imperial College,5
t,90,Lower,0.0944,Imperial College,5
t,0,Upper,3e-4,Imperial College,5
t,5,Upper,6e-4,Imperial College,5
t,10,Upper,0.001,Imperial College,5
t,15,Upper,0.0017000000000000001,Imperial College,5
t,20,Upper,0.0028000000000000004,Imperial College,5
t,25,Upper,0.0044,Imperial College,5
t,30,Upper,0.0067,Imperial College,5
t,35,Upper,0.0098,Imperial College,5
t,40,Upper,0.0137,Imperial College,5
t,45,Upper,0.018799999999999997,Imperial College,5
t,50,Upper,0.0252,Imperial College,5
t,55,Upper,0.0332,Imperial College,5
t,60,Upper,0.0434,Imperial College,5
t,65,Upper,0.0564,Imperial College,5
t,70,Upper,0.0735,Imperial College,5
t,75,Upper,0.0965,Imperial College,5
t,80,Upper,0.1281,Imperial College,5
t,85,Upper,0.1725,Imperial College,5
t,90,Upper,0.2778,Imperial College,5
